caller,receiver,date,duration
P018,P011,2026-01-04,148
P009,P006,2026-03-16,301
P002,P004,2026-03-18,474
P012,P024,2026-02-10,476
P020,P017,2026-01-15,424
P019,P007,2026-02-02,75
P023,P014,2026-01-01,562
P026,P018,2026-03-29,766
P022,P007,2026-02-16,471
P003,P022,2026-02-12,668
P011,P022,2026-01-16,767
P010,P017,2026-02-09,712
P014,P011,2026-02-21,743
P010,P018,2026-01-17,226
P014,P022,2026-02-18,723
P024,P006,2026-03-20,612
P010,P013,2026-03-12,883
P001,P010,2026-02-06,245
P014,P026,2026-03-16,651
P021,P011,2026-03-01,482
P015,P022,2026-01-28,553
P016,P026,2026-01-22,704
P003,P010,2026-03-07,709
P021,P020,2026-02-12,125
P025,P008,2026-03-28,347
P008,P026,2026-01-26,180
P001,P002,2026-02-01,516
P020,P025,2026-01-10,496
P014,P021,2026-03-15,229
P013,P016,2026-02-21,279
P005,P021,2026-03-30,35
P004,P025,2026-02-24,254
P006,P026,2026-03-31,560
P015,P002,2026-03-13,285
P004,P015,2026-01-18,850
P015,P022,2026-03-09,602
P020,P011,2026-02-26,657
P024,P017,2026-02-24,880
P018,P015,2026-01-21,791
P016,P015,2026-02-03,799
P008,P021,2026-02-05,814
P025,P017,2026-03-04,671
P008,P009,2026-02-26,109
P023,P010,2026-01-31,308
P018,P003,2026-01-18,184
P008,P013,2026-03-30,186
P023,P007,2026-01-09,454
P014,P011,2026-03-11,507
P014,P002,2026-01-27,882
P014,P013,2026-03-16,742
P001,P025,2026-03-15,419
P016,P001,2026-02-15,335
P025,P013,2026-02-23,581
P001,P002,2026-03-04,509
P001,P002,2026-02-04,952
P001,P002,2026-03-04,119
P001,P003,2026-02-13,888
P001,P003,2026-01-22,1017
P001,P003,2026-01-17,1153
P001,P003,2026-01-04,866
P001,P003,2026-03-17,115
P001,P004,2026-03-24,937
P001,P004,2026-01-18,1005
P002,P005,2026-01-07,592
P002,P005,2026-02-18,730
P002,P005,2026-01-28,991
P003,P006,2026-02-13,836
P003,P006,2026-02-05,923
P003,P006,2026-02-02,227
P003,P006,2026-03-02,99
P004,P007,2026-02-14,519
P004,P007,2026-03-25,200
P005,P008,2026-01-04,566
P005,P008,2026-01-26,101
P006,P009,2026-01-31,318
P006,P009,2026-03-02,294
P006,P009,2026-03-14,506
P007,P010,2026-03-31,584
P007,P010,2026-02-17,403
P007,P010,2026-03-19,294
P007,P010,2026-01-21,697
P007,P010,2026-01-14,112
P008,P011,2026-03-15,828
P008,P011,2026-02-20,466
P008,P011,2026-01-10,557
P008,P011,2026-01-14,677
P009,P012,2026-03-14,144
P009,P012,2026-02-14,1151
P010,P013,2026-03-26,818
P010,P013,2026-01-09,1096
P010,P013,2026-03-24,758
P010,P013,2026-01-02,920
P010,P013,2026-03-04,276
P003,P014,2026-02-16,1001
P003,P014,2026-04-01,373
P003,P014,2026-02-25,420
P003,P014,2026-03-08,613
P003,P014,2026-03-20,1162
P004,P015,2026-03-01,952
P004,P015,2026-03-17,609
P004,P015,2026-02-11,562
P004,P015,2026-01-12,631
P004,P015,2026-02-27,559
P001,P016,2026-03-14,836
P001,P016,2026-02-13,118
P001,P016,2026-03-05,725
P001,P016,2026-01-24,1058
P001,P016,2026-01-28,786
P016,P017,2026-02-13,632
P016,P017,2026-03-18,625
P016,P017,2026-03-13,80
P016,P017,2026-03-08,451
P017,P018,2026-01-31,892
P017,P018,2026-03-04,1197
